Title,Company,Location,Contract,Salary,Description
Data scientist H/F,ANDRA,92290 Châtenay-Malabry,None,Negotiable,Vous faites développer des algorithmes d’apprentissage automatique et des modèles de machine learning dédiés aux différentes applications métiers en matière de…
Data analyst RSE,SNCF,Saint-Denis (93),None,Negotiable,"Animer le PowerBI Data RSE Groupe SNCF (démonstration outil auprès des équipes opérationnelles, capter l’expression du besoin)."
DATA ANALYST H/F,Crédit Agricole Consumer Finance,"59100 Roubaix
+ 3 lieux","CDI
+1",Negotiable,Statut cadre
DATA SCIENTIST FINANCIAL SERVICES (H/F),Carrefour,Massy (91),"CDI
+1",Negotiable,"Travailler avec différents profils data du groupe (data scientist, data engineer, data architect, data analyst)."
DATA ANALYST TÉLÉCOM H/F,Chela+,94100 Paris,"CDI
+1",Negotiable,"Vous maîtrisez Excel, le logiciel de statistique ainsi que l’outil de data visualisation."
Data Scientist h/f,HeadMind Partners,75016 Paris,"CDI
+1",Negotiable,Maîtriser l’univers client pour spécialiser les applications data.
Actuaire / Data Scientist H/F - Nantes,Generali France,44300 Nantes,"CDI
+1",Negotiable,"Pour remplir ce rôle, l’équipe est constituée d’une quinzaine de collaborateurs aux profils actuaires / data scientists, répartis en deux pôles, un pôle Vie et…"
Reference Data Analyst,Deutsche Bank,Paris (75),"CDI
+1",Negotiable,Preparation and follow up of the tax data FATCA and CRS required for the yearly reportings.
Data Scientist/ Econometrics & modelization - Data marketing team,BlaBlaCar,Paris (75),"CDI
+1",Negotiable,"Be an active member of the Data Science chapter, a community of ten data scientists gathering for collective projects and personal growth."
Data scientist H/F,Once For All,Télétravail hybride à Lyon (69),"CDI
+1",Negotiable,Faire du mentorat aux jeunes data scientists et promouvoir une forte culture scientifique et technique.
DATA SCIENTIST (F/H),Novencia,Lyon (69),"CDI
+1",Negotiable,"Novencia accompagne ses clients dans leurs projets de transformation digitale, technologique et data."
