Title,Company,Location,Contract,Salary,Description
Développeur .NET / SQL junior,OMICRONE,Paris (75),CDI,De 40 000 € à 45 000 € par an,NET / SQL pour un client du secteur bancaire situé en.
Développeur Fullstack (H/F),Extia,"Paris (75)
+ 2 lieux",CDI,Negotiable,"Au sein d'une équipe dynamique, vous serez amené à :"
Développeur backend C#,Digistrat consulting,Paris (75),CDI,Negotiable,
Développeur/Développeuse Backend Junior,DEEPKI,75001 Paris 1er,CDI,Negotiable,"Fondée en 2014, Deepki accompagne les acteurs de l'immobilier dans leur transition vers le net zéro et la durabilité."
Sénior/Lead développeur Flutter // Full-remote possible // ‍ Foodtech,Sept Lieues,Télétravail à Paris (75),CDI,De 55 000 € à 65 000 € par an,✦ Possibilité de full-remote.
Développeur Talend F/H,GFP TECHNOLOGIES,"Télétravail à 28000 Chartres
+ 1 lieu",CDI,Negotiable,"Concevoir et développer les programmes et applications Talend en fonction des éléments du Cahier des Charges recensant les besoins du client,."
POEI Capgemini Parcours Développeur PLM - Paris H/F,Capgemini,Paris (75),CDI,Negotiable,Le développeur/paramétreur développe les outils liés à l’intégration de la plateforme 3DEXPERIENCE dans le système d’informations du client.
Développeur C# H/F,AIS,Saint-Herblain (44),CDI,Negotiable,AIS est une entreprise à taille humaine.
Backend Développeur,AUBERON CONSULTING SAS,Paris (75),CDI,De 55 000 € à 70 000 € par an,"Vous avez des connaissances approfondies des architectures distribuées, event-driven, les microservices, les API RESTful et le monitoring (Datadog, )."
Développeur Python - Start-up dans l’éducation entrepreneurial,EYETECH SOLUTIONS,Paris (75),CDI,De 55 000 € à 60 000 € par an,"Notre partenaire est une start-up ayant pour ambition de mettre plus en avant l’éducation, le coaching et l’entrepreneuriat."
Développeur Nodejs - React H/F,Seyos,Nantes (44),CDI,De 37 000 € à 45 000 € par an,Nantes Seyos CDI Informatique Développeur Javascript.
