Title,Company,Location,Contract,Salary,Description
DevOps (F/H),HarfangLab,75001 Paris 1er,None,Negotiable,Nous sommes une start-up de cybersécurité et nous avons développé un logiciel EDR (Endpoint Detection and Response) pour détecter et neutraliser les…
INGENIEUR DEVOPS JUNIOR (Boulogne Billancourt),informatis-ts,Boulogne-Billancourt (92),None,Negotiable, Automation et sécurisation des commandes.
Stage Ingénieur MBSE/Systèmes embarqués TOULOUSE H/F,Capgemini,31036 Toulouse,None,Negotiable,"De 6 collaborateurs en 1967 à plus de 345 000 en 2022, Capgemini est aujourd’hui une référence mondiale en matière de conseils, de service informatique et de…"
Intégrateur d'applications (DEVOPS) H/F,Solutec,Bordeaux (33),De 32 000 € à 50 000 € par an,De 32 000 € à 50 000 € par an,Assurer le bon fonctionnement des environnements applicatifs.
Consultant(e)s DevOps H/F,Sii,Aix-en-Provence (13),De 32 000 € à 50 000 € par an,De 40 € à 55 € de l’heure,"Qualification, intégration, test de non régression et recette de nouvelles versions des produits telles que Nexus IQ, SonarQube, Jenkins, Gitlab, Docker (liste…"
Ingenieur DevOps H/F,Crédit Agricole Group Infrastructure Platform,Saint-Quentin-en-Yvelines (78),De 32 000 € à 50 000 € par an,Negotiable,"CA-GIP, pôle infrastructure et production informatique du Groupe Crédit Agricole regroupant plus de 1500 collaborateurs, recherche un Ingénieur DevOps H/F."
SysAdmin / devops H/F,VeoNum,35700 Rennes,De 32 000 € à 50 000 € par an,Negotiable,"VeoNum, entreprise rennaise, regroupe aujourd’hui 40 consultants dont plusieurs dotés d’un doctorat."
DEVOPS ENGINEER F/H,Civils de la Défense,Toulon (83),De 32 000 € à 50 000 € par an,De 2 478 € à 3 230 € par mois,Il est également impliqué dans les missions de service public.
Junior Devops Engineer (F/H),engIT,Sophia Antipolis (06),De 32 000 € à 50 000 € par an,Negotiable,Analyze the current technologies used in the company and develop measures and processes in order to improve them.
Ingénieur DevOps LILLE H / F,Capgemini,59000 Lille,De 32 000 € à 50 000 € par an,Negotiable,✔Coordonner les activités qui vous seront confiées et le reporting.
Devops on premise (H/F) / Freelanc,HR-TEAM,Paris (75),De 32 000 € à 50 000 € par an,De 450 € à 550 € par jour,Contribuer à la construction des solutions CI/CD et d'automatisation de l'infrastructure (Infra as Code); Gérer les pipelines CI/CD et contribuer à la…
Ingénieur DevOps (H/F),b<>com,Rennes (35),De 32 000 € à 50 000 € par an,Negotiable,D’assister les projets pour la définition et la mise en place d’un environnement d’intégration continue et l’automatisation des déploiements.
Ingénieur DevOps H/F,42c,Paris (75),De 32 000 € à 50 000 € par an,Negotiable,"Elle est experte dans de nombreux secteurs d’activités comme les banques et assurances, les médias, les télécoms, ou l’industrie."
DEVOPS (H/F),Selfing,Saint-Rémy-lès-Chevreuse (78),De 32 000 € à 50 000 € par an,Negotiable,Candidats correspondant à une demande d’embauche directe d’un client.
Devops ansible (H/F) (IT),HR-TEAM,Paris (75),De 32 000 € à 50 000 € par an,De 50 000 € à 55 000 € par an,Ansible : Développement et Maintien en condition opérationnelle de playbooks et rôles Ansible.
Ingénieur cyber sécurité en alternance H/F,SPIE,Toulouse (31),De 32 000 € à 50 000 € par an,Negotiable,"Dans chacun de nos métiers et, dans toutes nos filiales, nous favorisons la mixité et la diversité car elles sont un levier de performance individuelle et…"
Ingénieur Azure Devops (H/F) (IT),UNIDOSA,Paris (75),De 32 000 € à 50 000 € par an,Negotiable,Etudes d’opportunité sur mise en place AzureDevOps sur périmètre CI.
Ingénieur DevOps H/F,Sophia Engineering,"Grenoble (38)
+ 1 lieu",De 32 000 € à 50 000 € par an,Negotiable,Sophia Engineering transforme les idées en réalité industrielle.
Administrateur Systèmes et Réseaux (H/F),quodagis,Pessac (33),De 40 000 € à 45 000 € par an,De 40 000 € à 45 000 € par an,
